股票代號,股票名稱,日期,收盤價,漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
3679,新至陞,2026-04-17,122.0,0.0,39991,4857962,綠縮,否,是,122.0,122.0,122.0,122.0,0.0,0.0,0.0
3686,達能,2026-04-17,17.7,0.0,178269,3139621,綠縮,否,是,17.7,17.7,17.7,17.7,0.0,0.0,0.0
3694,海華,2026-04-17,61.3,0.0,1052817,64989686,綠縮,否,是,61.3,61.3,61.3,61.3,0.0,0.0,0.0
3701,大眾控,2026-04-17,65.9,2.5,13430251,895928500,綠縮,否,是,65.9,65.9,65.9,65.9,0.0,0.0,0.0
3702,大聯大,2026-04-17,98.8,0.6,22356731,2215172329,綠縮,否,是,98.8,98.8,98.8,98.8,0.0,0.0,0.0
3703,欣陸,2026-04-17,21.85,-0.15,1611660,35250198,綠縮,否,是,21.85,21.85,21.85,21.85,0.0,0.0,0.0
3704,合勤控,2026-04-17,37.45,0.45,4447505,167561717,綠縮,否,是,37.45,37.45,37.45,37.45,0.0,0.0,0.0
3705,永信,2026-04-17,55.4,-0.8,222888,12398958,綠縮,否,是,55.4,55.4,55.4,55.4,0.0,0.0,0.0
3706,神達,2026-04-17,84.1,1.3,18822334,1584918824,綠縮,否,是,84.1,84.1,84.1,84.1,0.0,0.0,0.0
3708,上緯投控,2026-04-17,123.5,5.0,2275296,280265991,綠縮,否,是,123.5,123.5,123.5,123.5,0.0,0.0,0.0
3711,日月光投控,2026-04-17,442.0,-8.5,25602127,11510459299,,否,是,442.0,442.0,442.0,442.0,0.0,0.0,0.0
3712,永崴投控,2026-04-17,19.3,0.1,1068870,20625498,,否,是,19.3,19.3,19.3,19.3,0.0,0.0,0.0
3714,富采,2026-04-17,77.9,1.9,153094471,11932838959,,否,是,77.9,77.9,77.9,77.9,0.0,0.0,0.0
3715,定穎投控,2026-04-17,198.0,11.5,63631713,12405393472,,否,是,198.0,198.0,198.0,198.0,0.0,0.0,0.0
3716,中化控股,2026-04-17,32.7,-0.3,163259,5345213,,否,是,32.7,32.7,32.7,32.7,0.0,0.0,0.0
3717,聯嘉投控,2026-04-17,21.9,0.05,1199685,26355705,,否,是,21.9,21.9,21.9,21.9,0.0,0.0,0.0
4104,佳醫,2026-04-17,79.1,-0.3,288195,22795162,綠縮,否,是,79.1,79.1,79.1,79.1,0.0,0.0,0.0
4106,雃博,2026-04-17,22.5,-0.05,117194,2617856,紅縮,否,是,22.5,22.5,22.5,22.5,0.0,0.0,0.0
4108,懷特,2026-04-17,12.65,-0.45,267956,3400115,紅縮,否,是,12.65,12.65,12.65,12.65,0.0,0.0,0.0
4119,旭富,2026-04-17,48.55,-1.45,540081,26468601,紅縮,否,是,48.55,48.55,48.55,48.55,0.0,0.0,0.0
4133,亞諾法,2026-04-17,22.5,-0.3,98527,2220885,紅縮,否,是,22.5,22.5,22.5,22.5,0.0,0.0,0.0
4137,麗豐-KY,2026-04-17,110.5,0.5,85931,9461743,紅縮,否,是,110.5,110.5,110.5,110.5,0.0,0.0,0.0
4142,國光生,2026-04-17,18.5,-0.2,1604033,29757579,紅縮,否,是,18.5,18.5,18.5,18.5,0.0,0.0,0.0
